King County Library System,Computer Basics Training,"960 Newport Way NW, Issaquah, WA, 98027"
Seattle Public Library,Computer Classes,"8635 Fremont Ave N, Seattle, WA, 98103"
Boys&Girls Clubs of King County,After-school Program,"201 19th Ave, Seattle, WA, 98122"
Coyote Central,Electronics Classes,"2300 E Cherry St, Seattle, WA, 98122"
FAMILYWORKS,Pre-Employment Services,"1501 N 45th St, Seattle, WA, 98103"
GAY CITY: Seattle's LGBTQ Center,Queercore,"517 E Pike St, Seattle, WA, 98122"
Goodwill,Basic Skills& GED Preparation,"700 Dearborn Pl S, Seattle, WA, 98144"
Greenwood Senior Center,Computer Technology Center,"525 N 85th St, Seattle, WA, 98103"
Helping Link,ELS Citizenship Computer Literacy Program,"1032 S Jackson St, Suite C, Seattle, WA, 98104"
Jubulee Women's Center,Computer Basics Training,"620 18th Ave E, Seattle, WA, 98112"
Lambert House,Computer Lab,"1818 15th Ave, Seattle, WA, 98122"
Museum of History & Industry,Maker Day,"860 Terry Ave N, Seattle, WA, 98109"
Phinney Neighborghood Association,"Arts, Scheduling and Community Education Programs","6532 Phinney Ave N, Seattle, WA, 98103"
Seattle Children's Research Institute,STEM High School Internship Program,"1900 9th Ave, Seattle, WA, 98101"
Seattle Indian Center,Employment Services,"1265 S Main St, Suite 105, Seattle, WA, 98144"
Seattle Parks and Recreation - Community Centers,Recreational Technology,"2323 E Cherry St, Seattle, WA, 98122"
United Indians of all Tribes Foundation,"Workforce Investment, Employment, Services","5011 Bernie Whitebear Way, Daybreak Star Center, Seattle, WA, 98199"
Seattle Public Library,ESL Classes,"1000 4th Ave, Seattle, WA, 98104"
Casa Latina,ESL Classes,"317 17th Ave S, Seattle, WA, 98144"
Center for Multicultural Health,Refugee and Immigrant Resources,"1120 E Terrace St, Suite 200, Seattle, WA, 98122"
Children's Home Society of Washington,Classes and Support Group,"2611 NE 125th St, Suite 145, Seattle, WA, 98125"
Chinese Information and Service Center,Immigrant Transition Programs,"611 S Lane St, Seattle, WA, 98104"
Literacy Source,Educational Services,"3200 NE 125th St, Seattle, WA, 98125"
North Seattle College,Pre-College Programs,"9600 College Way N, Seattle, WA, 98103"
Seattle Central College,Division of Basic Studies/ABE/ESL,"1701 Broadway, Seattle, WA, 98122"
Farestart,Youth Barista Program,"1818 Yale Ave, Seattle, WA, 98101"
Trac Associates,Emplyment Services,"215 6th Ave N, Suite 100, Seattle, WA, 98109"
Worksource - King County,Veterans Program,"9600 College Way N, The Opportunity Center, Seattle, WA, 98103"
Church of Jesus Christ,Training,"17935 Aurora Ave N, Shoreline, WA, 98133"
Sunrise Services,Employment - Assessment/Management,"17962 Midvale N., #232, Shoreline, WA, 98133"
Work Opportunities,Rehabilitation,"22316 70th Ave W, Mountlake Terrace, WA, 98043"
Bremerton Housing Authority,Barista Training Program,"4650 Bay Vista Blvd, Bremerton, WA, 98312"
